channel_name,channel_id,real_state,lat_long,transcript_count,wordcount,speech_dur
Rutherford County Government,UCGdwu25OPaVj086VWWKtf1A,Tennessee,"(35.822984, -86.3966562)",1160,8569491,1003:29:13.62
CityOfGreenBay,UCd0WTidHx2LPWIJY-xrH9eg,Wisconsin,"(44.5133188, -88.0132958)",656,5520970,578:05:24.4
CalaverasCommunityTV,UCBa_xGTLZoFxsXKD_T506Qw,California,"(38.0696456, -120.5406678)",612,5235882,604:04:46.04
Philadelphia City Council,UC9bXJCRFPLxMhT22nZ7t8XA,Pennsylvania,"(39.9523789, -75.1635996)",836,4702557,516:44:6.63
LNKTV City,UCeRPazmGKkWc28SK3si9xWA,Nebraska,"(40.813616, -96.7025955)",749,4391728,487:19:53.34
CityofPhoenixAZ,UCx7FQNzOFCbtExt_gRub9JQ,Arizona,"(33.4483771, -112.0740373)",1177,4166706,441:37:7.01
NYC Mayor's Office,UClnI1zhyzv_BPb-VSHEtniw,New York,"(40.7133871, -74.00743609999999)",861,3737299,420:13:24.46
"City of Santa Rosa, California",UChF7Zl4VNfZFm-IUdtX6B_A,California,"(38.440429, -122.7140548)",137,3342177,254:22:34.1
WaterlooCommunityTV,UCykjSisg4jbUpxXoEIOqw5A,Iowa,"(42.456671, -92.35013599999999)",348,3254426,376:17:17.45
"Portsmouth, Virginia",UCZLXNtcdwwjECrPg6YrTiYg,Virginia,"(36.8354258, -76.2982742)",491,3167530,362:20:44.8
"Dayton, Ohio - City Government",UC8upHquptA3gqvKO7qXZvIg,Ohio,"(39.75962, -84.194052)",1081,3023258,312:36:44.59
CityofErie,UCQuw9_BuK-LGyRIOygHdkWw,Pennsylvania,"(42.12922409999999, -80.085059)",305,3018053,313:48:48.96
City Channel 4 - Iowa City,UCDfQkGRr6dgTs07YZdCUH_g,Iowa,"(41.6609059, -91.5315148)",695,2972589,319:37:6.63
"City of Murfreesboro, TN - Government",UCbOkz_e8N4rIFiZkmWTkf8g,Tennessee,"(35.844432, -86.393051)",1392,2325008,285:57:48.32
LitchfieldTV,UCghq7fALfNAB53QKWlOyScw,New Hampshire,"(42.84425359999999, -71.4797889)",266,2238768,256:28:1.39
City of Guthrie Oklahoma,UCXgtbXE9AmzOLEYm1wxe6tg,Oklahoma,"(35.878937, -97.42531849999999)",646,2217243,244:48:1.56
City of Delaware,UCdtmsOkpP8rbPbdZlCekIew,Ohio,"(40.2986724, -83.067965)",227,2158926,247:57:37.56
"City of New Ulm, MN",UCe4BSgVG_mRBNvu9HThuxnw,Minnesota,"(44.3144394, -94.45930179999999)",395,2120071,255:48:47.39
City of Boulder,UCAHm_LCXkzWpph_NDqZ0I4Q,Colorado,"(40.0149856, -105.2705456)",851,2104105,224:01:20.8
City of Salida Colorado,UCmmG6TTREbWPiGhQK_Jy1Ig,Colorado,"(38.5347193, -105.9989022)",173,2054832,251:53:4.06
City of Meridian,UCcQl8wZRqYIfxccWrUJBewg,Idaho,"(43.6121087, -116.3915131)",464,2044309,234:34:49.42
CCG TV,UC3gct-vKDbdIuF1ZTAvtOhA,Georgia,"(32.4609764, -84.9877094)",256,2006337,225:32:42.48
City of Fairhope,UCQsD9rKnDZ7Fik7D22bI0gw,Alabama,"(30.5229719, -87.9033261)",183,1932270,212:28:34.05
NorfolkTV,UCp20-oOitgfeAgxU34S-tPA,Virginia,"(36.8507689, -76.28587259999999)",965,1906131,202:06:18.23
City of Little Rock,UCoRn4kpi78zlnEN6deMwlQw,Arkansas,"(34.7464809, -92.28959479999999)",294,1867807,211:10:18.19
City of Longmont Colorado,UCH5_wkpLrKYb1JuUk6-UdNg,Colorado,"(40.1672068, -105.1019275)",234,1859206,224:03:57.36
Kern Government Television,UCmUJZiUo7nYq2x3IOnPqd5A,California,"(35.4937274, -118.8596804)",185,1825936,199:44:47.04
Macomb Board of Commissioners,UCDhWnZ6RMvQWhRHVfanLBxw,Michigan,"(42.5963627, -82.8780386)",235,1821679,192:54:38.17
