,channel_name,location,channel_id,lat_long,no_videos,word_count,population,video_duration,mean_syl_sec,std_syl_sec
0,Ownby US/VA Government,"Richmond, Virginia",UCMJ9hCPzPs_DiPcX-GQEjZw,"(37.5633011, -77.4569801)",4,1478,227032.0,516.489,6.5890191800288855,0.6394647568792717
1,Florida Government,"St. Petersburg, Florida",UCy9172bFY8usKzYt_KQGBJw,"(27.7739864, -82.64083219999999)",4,3140,263255.0,1167.559,5.8768404686809825,0.40726409564319893
2,Pennsylvania Municipal League,"Harrisburg, Pennsylvania",UC4XZkKTzJb1Mn4PBweUcP6Q,"(40.2627665, -76.8867669)",32,14796,49192.0,5344.8189999999995,5.66117322758629,0.5554315883610178
3,Town of Wiggins,"Wiggins, Colorado",UCLfzJYfsilF0D3dQGKMpGbw,"(40.2305363, -104.0727278)",19,319767,887.0,140004.14800000002,5.569556813700456,0.1260013491413815
4,"Orange County, NY Government","Orange County, New York",UCU3TVLdskRq8PPcLuNugy1A,"(41.3911653, -74.3118212)",2,12876,382226.0,4477.63,5.568528034151244,0.09192802722880355
5,Greenville Wisconsin,"Greenville, Wisconsin",UCJdbHHH0GVrnrLQ2P5rsy9Q,"(44.3002628, -88.53649539999999)",32,103818,12091.0,63577.53999999999,5.556118888512854,0.3588001260081553
6,News Now Colorado,"Colorado Springs, Colorado",UCmQIlF7oc5d4MFoqCLYWxrA,"(38.841051, -104.739221)",16,15606,464474.0,8682.739,5.54658947621471,0.3933665585830641
7,Prince George's County Government,"Upper Marlboro, Maryland",UCO2d1EtrwB-VuFJAOxsApLg,"(38.8180043, -76.7508472)",1,14954,673.0,7773.679,5.54460142617823,
8,"City of Lewiston, ME","Lewiston, Maine",UCprFi23oI7DclYQ8kxx_mmQ,"(44.100351, -70.21477639999999)",14,17614,36221.0,10254.516000000001,5.533315189881638,0.6073816754300825
9,CityofDurhamNC,"Durham, North Carolina",UCHUDjJ4VIFaf3a9ap9s5qEA,"(35.9940329, -78.898619)",225,403093,267743.0,171316.86299999992,5.510995490892958,0.3881832280806331
10,CityOfTitusville,"Titusville, Florida",UCvQPDngBunvcPZsioiJuQ_g,"(28.6122187, -80.8075537)",10,10104,46263.0,4171.41,5.5058702776261566,0.4590776327388426
11,Orange County North Carolina Video,"Hillsborough, North Carolina",UCWv68m-BGtw4OBxzOMB8fnQ,"(36.0741901, -79.0808665)",38,27582,7231.0,10902.093,5.494132029011131,0.6826613287370079
12,CO Pearland,"Pearland, Texas",UCRAyWlB2d1XLCJ8SHH8xyxQ,"(29.5434205, -95.2225551)",31,10862,119940.0,4016.8219999999997,5.490061417754435,0.5002416133028288
13,Illinois Youth & Government,"Downers Grove, Illinois",UCpPYpbakFJmcoyhF-9mersw,"(41.8330175, -88.01940429999999)",7,7989,148736.0,3761.2889999999998,5.484223686233998,0.05143677657358158
14,City of Mt. Pulaski,"Mount Pulaski, Illinois",UCUGntHxJMcrkLQTsfMI0eaw,"(40.0108767, -89.282314)",8,27614,2013.0,16149.908000000001,5.4753520292608595,0.10879280813160006
15,"City of Portage, WI","Portage, Wisconsin",UC1js1AsdSXS9xpPGeQDfHSQ,"(43.5391486, -89.46262019999999)",8,2276,10473.0,887.848,5.465592391895587,0.7146162833195875
16,Montana Municipal Interlocal Authority,"Helena, Montana",UCTJLv2_9DzbmeSdMrqOzHYQ,"(46.616824, -112.030694)",3,2189,31429.0,769.47,5.454412286309349,0.3614001846001673
17,"City of Ammon, Idaho","Ammon, Idaho",UC9fNsA0JthGQ7mD8wB7FJXQ,"(43.4696366, -111.9666355)",1,1043,15540.0,457.48,5.444525815933273,
18,"Lake County, FL - Government","Tavares, Florida",UCd3YB4jmtmtKA1VkRXw33aQ,"(28.801728, -81.72981)",26,9014,16865.0,3595.774,5.438373981222266,0.7059999644531926
19,"Apache County, AZ","Apache County, Arizona",UC2nB5nlo3B_zC-BapdrSE5A,"(35.5313224, -109.3783206)",2,12643,71606.0,6530.079,5.435305879548029,0.2876743007581677
20,Utah Office of the State Auditor Local Government Division,"Salt Lake City, Utah",UC_zj1HbPzVfj5hzv89KCu6w,"(40.7775314, -111.8878716)",6,1611,200544.0,691.9499999999999,5.432779471485773,0.360881584014676
