,channel_name,location,channel_id,lat_long2,no_videos,wordcount,mean_syl_sec
0,Ownby US/VA Government,"Richmond, Virginia",UCMJ9hCPzPs_DiPcX-GQEjZw,"(37.5633011, -77.4569801)",4,1478,6.5890191800288855
1,Florida Government,"St. Petersburg, Florida",UCy9172bFY8usKzYt_KQGBJw,"(27.7739864, -82.64083219999999)",4,3140,5.8768404686809825
2,Pennsylvania Municipal League,"Harrisburg, Pennsylvania",UC4XZkKTzJb1Mn4PBweUcP6Q,"(40.2627665, -76.8867669)",32,14796,5.66117322758629
3,Town of Wiggins,"Wiggins, Colorado",UCLfzJYfsilF0D3dQGKMpGbw,"(40.2305363, -104.0727278)",19,319767,5.569556813700456
4,"Orange County, NY Government","Orange County, New York",UCU3TVLdskRq8PPcLuNugy1A,"(41.3911653, -74.3118212)",2,12876,5.568528034151244
5,Greenville Wisconsin,"Greenville, Wisconsin",UCJdbHHH0GVrnrLQ2P5rsy9Q,"(44.3002628, -88.53649539999999)",32,103818,5.556118888512854
6,News Now Colorado,"Colorado Springs, Colorado",UCmQIlF7oc5d4MFoqCLYWxrA,"(38.841051, -104.739221)",16,15606,5.54658947621471
7,Prince George's County Government,"Upper Marlboro, Maryland",UCO2d1EtrwB-VuFJAOxsApLg,"(38.8180043, -76.7508472)",1,14954,5.54460142617823
8,"City of Lewiston, ME","Lewiston, Maine",UCprFi23oI7DclYQ8kxx_mmQ,"(44.100351, -70.21477639999999)",14,17614,5.533315189881638
9,CityofDurhamNC,"Durham, North Carolina",UCHUDjJ4VIFaf3a9ap9s5qEA,"(35.9940329, -78.898619)",225,403093,5.510995490892958
10,CityOfTitusville,"Titusville, Florida",UCvQPDngBunvcPZsioiJuQ_g,"(28.6122187, -80.8075537)",10,10104,5.5058702776261566
11,Orange County North Carolina Video,"Hillsborough, North Carolina",UCWv68m-BGtw4OBxzOMB8fnQ,"(36.0741901, -79.0808665)",38,27582,5.494132029011131
12,CO Pearland,"Pearland, Texas",UCRAyWlB2d1XLCJ8SHH8xyxQ,"(29.5434205, -95.2225551)",31,10862,5.490061417754435
13,Illinois Youth & Government,"Downers Grove, Illinois",UCpPYpbakFJmcoyhF-9mersw,"(41.8330175, -88.01940429999999)",7,7989,5.484223686233998
14,City of Mt. Pulaski,"Mount Pulaski, Illinois",UCUGntHxJMcrkLQTsfMI0eaw,"(40.0108767, -89.282314)",8,27614,5.4753520292608595
15,"City of Portage, WI","Portage, Wisconsin",UC1js1AsdSXS9xpPGeQDfHSQ,"(43.5391486, -89.46262019999999)",8,2276,5.465592391895587
16,Montana Municipal Interlocal Authority,"Helena, Montana",UCTJLv2_9DzbmeSdMrqOzHYQ,"(46.616824, -112.030694)",3,2189,5.454412286309349
17,"City of Ammon, Idaho","Ammon, Idaho",UC9fNsA0JthGQ7mD8wB7FJXQ,"(43.4696366, -111.9666355)",1,1043,5.444525815933273
18,"Lake County, FL - Government","Tavares, Florida",UCd3YB4jmtmtKA1VkRXw33aQ,"(28.801728, -81.72981)",26,9014,5.438373981222266
19,"Apache County, AZ","Apache County, Arizona",UC2nB5nlo3B_zC-BapdrSE5A,"(35.5313224, -109.3783206)",2,12643,5.435305879548029
